"py/object","match_id","timestamp","score1","score2","players2__001","players2__002","players1__001","players1__002"
"core.FoosballMatch","83f0ad95","2016-12-09T14:06:02.055782","10","4","U0HTPS3JS","U0HTVEJKC","U0HTPM4P8","U0J8ETRH7"
"core.FoosballMatch","1a67477b","2016-12-15T18:25:25.399508","7","10","U0HTVEJKC","U0J0XLJUD","U0HTPS3JS","U0KA76231"
"core.FoosballMatch","e1221a6b","2016-12-05T16:29:22.852857","10","8","U0HTVTLBS","U0HTQJMHN","U0KA76231","U0J8ETRH7"
"core.FoosballMatch","62b3ba5b","2016-12-15T18:25:50.563143","6","10","U0HTPM4P8","U0J0XLJUD","U0HTPS3JS","U0KA76231"
"core.FoosballMatch","a5140fc4","2016-07-29T17:52:52.213680","10","7","U0W5T83EK","U0HTQ6XQQ","U0JBNHJ3X","U0J0XLJUD"
"core.FoosballMatch","e8f10077","2016-07-28T18:12:11.481426","10","7","U1CUW4Z7S","U0HTVTLBS","U0HTRQ5HQ","U17V6C5K6"
"core.FoosballMatch","cf585e76","2016-07-19T18:08:16.560942","8","10","U0HTVEJKC","U0HTQ6XQQ","U0HTSHTR9","U0JBNHJ3X"
"core.FoosballMatch","87475853","2016-10-11T12:51:11.322926","6","10","U0J8ETRH7","U0KA76231","U0JBNHJ3X","U0KCZ16LT"
"core.FoosballMatch","974d7755","2016-09-16T17:11:15.393291","8","10","U0HTVTLBS","U0KA76231","U0JBNHJ3X","U1CUW4Z7S"
"core.FoosballMatch","7451bf35","2016-10-24T09:54:16.698690","10","8","U0HTVTLBS","U0HTJ2DK6","U0HTSHTR9","U0HTVEJKC"
"core.FoosballMatch","95dc08c4","2016-09-21T10:42:34.685790","10","5","U0HTVTLBS","U0J0XLJUD","U0JBNHJ3X","U0KCZ16LT"
"core.FoosballMatch","68321e91","2016-10-03T16:59:27.476109","5","10","U0KA76231","U1CUW4Z7S","U0JBNHJ3X","U0HTRQ5HQ"
